,Adsorption Energy O,Bulk ICOHP,Oxidation state bulk,Metal Symbol,Outer Electrons,Adsorbate O,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Oxidation state surface,Adsorption Energy OH,Adsorbate OH,Adsorption Energy O-OH,Adsorbate,Outer electrons surface,Outer electrons bulk,Is d0,Normalized ICOHP,Normalized ICOHP Pred,Ionization energy surface,Ionization energy bulk,Electronegativity,Group,Period,Atomic nos
26,4.129885399999978,-8.8749,5,Fe,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/03_Fe2O5/no_sym/ICOHPLIST.lobster,8.998156254634194,-2.066414043576712,-8.44533521584572,3d,0.0,4.0,1.564258489999986,OH,2.565626909999992,O-OH,4.0,3,0,-1.77498,-1.689067043169144,18.75,19.797,1.83,8,4,26
27,3.915313309999988,-8.8749,5,Fe,3,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/03_Fe2O5/no_sym/ICOHPLIST.lobster,8.998156254634194,-2.066414043576712,-8.44533521584572,3d,0.0,5.0,1.606227969999992,OH,2.309085339999996,O-OH,3.0,3,0,-1.77498,-1.689067043169144,19.797,19.797,1.83,8,4,26
28,3.505487775000006,-4.65011,2,Co,7,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+2/06_CoO/no_sym/ICOHPLIST.lobster,12.560383297740012,-3.332755855478756,-4.488575590227721,3d,0.0,1.93,1.077551630000002,OH,2.427936145000004,O-OH,7.07,7,0,-2.325055,-2.2442877951138605,16.762128497409325,16.75,1.88,9,4,27
29,2.762137660000008,-7.99875,3,Co,6,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/06_Co2O3/no_sym/ICOHPLIST.lobster,11.809300582557755,-3.018249076162344,-8.116797246689384,3d,0.0,2.833,0.7621218399999918,OH,2.000015820000016,O-OH,6.167,6,0,-2.6662500000000002,-2.7055990822297944,17.04991528415108,17.09,1.88,9,4,27
30,3.773014469999993,-9.32898,4,Co,5,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/05_CoO2/no_sym/ICOHPLIST.lobster,10.97871922674654,-2.734645355551286,-9.606932495817135,3d,0.0,3.333,1.3849585600000012,OH,2.3880559099999914,O-OH,5.667,5,0,-2.332245,-2.401733123954284,18.202997299729976,19.875,1.88,9,4,27
31,3.6909155100000106,-9.32898,4,Co,5,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+4/05_CoO2/no_sym/ICOHPLIST.lobster,10.97871922674654,-2.734645355551286,-9.606932495817135,3d,0.0,4.0,1.3429571800000133,OH,2.3479583299999973,O-OH,5.0,5,0,-2.332245,-2.401733123954284,19.875,19.875,1.88,9,4,27
32,3.548003469999969,-10.06511,5,Co,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/04_Co2O5/no_sym/ICOHPLIST.lobster,10.041247532165723,-2.21093681325959,-9.800972995791218,3d,0.0,4.0,1.3709691799999746,OH,2.1770342899999946,O-OH,5.0,4,0,-2.0130220000000003,-1.9601945991582437,19.875,20.4,1.88,9,4,27
33,3.9770838899999887,-10.06511,5,Co,4,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+5/04_Co2O5/no_sym/ICOHPLIST.lobster,10.041247532165723,-2.21093681325959,-9.800972995791218,3d,0.0,5.0,1.7826373000000046,OH,2.194446589999984,O-OH,4.0,4,0,-2.0130220000000003,-1.9601945991582437,20.4,20.4,1.88,9,4,27
34,4.420900984999996,-4.59362,2,Ni,8,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+2/07_NiO/no_sym/ICOHPLIST.lobster,13.207620081293902,-2.7142467082765283,-4.443222942905437,3d,0.0,1.93,1.8610465699999992,OH,2.5598544149999967,O-OH,8.07,8,0,-2.29681,-2.2216114714527184,17.61581274093264,17.595,1.91,10,4,28
35,4.479703749999999,-6.00802,3,Ni,7,O,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/DFT_Data/bulk_data/+3/07_Ni2O3/no_sym/ICOHPLIST.lobster,12.52067633859022,-2.6872838474305683,-6.037701293075413,3d,0.0,2.833,1.7548626099999751,OH,2.724841140000024,O-OH,7.167,7,0,-2.0026733333333335,-2.012567097691804,18.216883162725026,18.3,1.91,10,4,28
