,Adsorption Energy,Bulk ICOHP,Oxidation State,Metal Symbol,Outer Electrons,Adsorbate,Bulk File,Psi,O 2p-center,predicted COHP,row,p ICOHP,Surface Oxidation State
19,0.76212184,-5.54992,3,Co,6,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/06_Co2O3/no_sym/ICOHPLIST.lobster,(11.809300582557757+0j),0,-5.465581399,3d,0,2.833
20,1.38495856,-7.15514,4,Co,5,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/05_CoO2/no_sym/ICOHPLIST.lobster,(10.97871922674654+0j),0,-7.279180943,3d,0,3.333
21,1.34295718,-7.15514,4,Co,5,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/05_CoO2/no_sym/ICOHPLIST.lobster,(10.97871922674654+0j),0,-7.279180943,3d,0,4
22,1.37096918,-7.89924,5,Co,4,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/04_Co2O5/no_sym/ICOHPLIST.lobster,(10.041247532165725+0j),0,-7.676527524,3d,0,4
23,1.7826373,-7.89924,5,Co,4,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/04_Co2O5/no_sym/ICOHPLIST.lobster,(10.041247532165725+0j),0,-7.676527524,3d,0,5
24,1.07755163,-1.72544,2,Co,7,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+2/06_CoO/no_sym/ICOHPLIST.lobster,(12.560383297740012+0j),0,-2.199643072,3d,0,1.93
25,1.39469183,-3.48734,3,Fe,5,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/05_Fe2O3/no_sym/ICOHPLIST.lobster,(11.03806711391862+0j),0,-3.544088244,3d,0,2.833
26,1.88221801,-5.90474,4,Fe,4,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/04_FeO2/no_sym/ICOHPLIST.lobster,(10.095527709415736+0j),0,-6.124607749,3d,0,3.333
27,1.83324754,-5.90474,4,Fe,4,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/04_FeO2/no_sym/ICOHPLIST.lobster,(10.095527709415736+0j),0,-6.124607749,3d,0,4
28,1.56425849,-6.65184,5,Fe,3,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/03_Fe2O5/no_sym/ICOHPLIST.lobster,(8.998156254634194+0j),0,-6.29311212,3d,0,4
29,1.60622797,-6.65184,5,Fe,3,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/03_Fe2O5/no_sym/ICOHPLIST.lobster,(8.998156254634194+0j),0,-6.29311212,3d,0,5
30,0.507777125,-1.7468,2,Fe,6,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+2/05_FeO/no_sym/ICOHPLIST.lobster,(11.873138360360416+0j),0,-1.88710654,3d,0,1.93
31,1.38703107,-4.6657,3,Mn,4,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/04_Mn2O3/no_sym/ICOHPLIST.lobster,(10.436452563236141+0j),0,-4.596993577,3d,0,2.833
32,1.53469615,-7.55448,4,Mn,3,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/03_MnO2/no_sym/ICOHPLIST.lobster,(9.302022995835172+0j),0,-7.403260278,3d,0,3.333
33,1.47976384,-7.55448,4,Mn,3,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/03_MnO2/no_sym/ICOHPLIST.lobster,(9.302022995835172+0j),0,-7.403260278,3d,0,4
34,1.39043585,-8.33383,5,Mn,2,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/02_Mn2O5/no_sym/ICOHPLIST.lobster,(7.909352022848464+0j),0,-7.964374778,3d,0,4
35,1.4015936,-8.33383,5,Mn,2,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+5/02_Mn2O5/no_sym/ICOHPLIST.lobster,(7.909352022848464+0j),0,-7.964374778,3d,0,5
36,1.44218252,-8.60367,6,Mn,1,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+6/MnO3/no_sym/ICOHPLIST.lobster,(5.994167945696973+0j),0,-9.311102554,3d,0,5
37,0.98745984,-1.81451,2,Mn,5,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+2/04_MnO/no_sym/ICOHPLIST.lobster,(11.410821419150508+0j),0,-1.996063521,3d,0,1.93
38,0.68497005,-6.38777,3,Cr,3,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+3/03_Cr2O3/no_sym/ICOHPLIST.lobster,(9.175339249232014+0j),0,-6.392772466,3d,0,2.833
39,1.125646,-8.93889,4,Cr,2,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/02_CrO2/no_sym/ICOHPLIST.lobster,(7.80163498668264+0j),0,-8.845661671,3d,0,3.333
40,1.32570116,-8.93889,4,Cr,2,OH,/Volumes/GoogleDrive-116077131897504880587/Shared drives/Pure_Oxide_Descriptors/Manuscript_2/Figure3_5_6/../DFT_Data/bulk_data/+4/02_CrO2/no_sym/ICOHPLIST.lobster,(7.80163498668264+0j),0,-8.845661671,3d,0,4
